21:02:56.172 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Started up successfully
21:02:56.211 [default-akka.actor.default-dispatcher-16] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - No seed-nodes configured, manual cluster join required, see https://doc.akka.io/docs/akka/current/cluster-usage.html#joining-to-seed-nodes
21:02:56.948 [default-akka.actor.default-dispatcher-18] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Shutting down remote daemon.
21:02:56.949 [default-akka.actor.default-dispatcher-18] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remote daemon shut down; proceeding with flushing remote transports.
21:02:57.022 [default-akka.actor.default-dispatcher-2] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remoting shut down.
21:12:44.620 [default-akka.actor.default-dispatcher-2] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
21:12:44.644 [default-akka.actor.default-dispatcher-2] INFO  akka.remote.Remoting - Starting remoting
21:12:44.904 [default-akka.actor.default-dispatcher-2] INFO  akka.remote.Remoting - Remoting started; listening on addresses :[akka.tcp://default@192.168.0.66:2552]
21:12:44.905 [default-akka.actor.default-dispatcher-2] INFO  akka.remote.Remoting - Remoting now listens on addresses: [akka.tcp://default@192.168.0.66:2552]
21:12:44.927 [default-akka.actor.default-dispatcher-2] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Starting up, Akka version [2.5.26] ...
21:12:45.011 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Registered cluster JMX MBean [akka:type=Cluster]
21:12:45.011 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Started up successfully
21:12:45.030 [default-akka.actor.default-dispatcher-4] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - No seed-nodes configured, manual cluster join required, see https://doc.akka.io/docs/akka/current/cluster-usage.html#joining-to-seed-nodes
21:12:45.130 [default-akka.actor.default-dispatcher-2] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Shutting down remote daemon.
21:12:45.132 [default-akka.actor.default-dispatcher-2] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remote daemon shut down; proceeding with flushing remote transports.
21:12:45.162 [default-akka.actor.default-dispatcher-4] INFO  akka.remote.Remoting - Remoting shut down
21:12:45.162 [default-akka.actor.default-dispatcher-4] INFO  a.remote.RemoteActorRefProvider$RemotingTerminator - Remoting shut down.
21:15:45.886 [default-akka.actor.default-dispatcher-2] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
21:15:45.911 [default-akka.actor.default-dispatcher-2] INFO  akka.remote.Remoting - Starting remoting
21:15:46.156 [default-akka.actor.default-dispatcher-2] INFO  akka.remote.Remoting - Remoting started; listening on addresses :[akka.tcp://default@192.168.0.66:2552]
21:15:46.158 [default-akka.actor.default-dispatcher-2] INFO  akka.remote.Remoting - Remoting now listens on addresses: [akka.tcp://default@192.168.0.66:2552]
21:15:46.180 [default-akka.actor.default-dispatcher-2] INFO  akka.cluster.Cluster(akka://default) - Cluster Node [akka.tcp://default@192.168.0.66:2552] - Starting up, Akka version [2.5.26] ...
